Student_ID,Specialization,CGPA,Programming_Skill_Score,Communication_Skill_Score,Certifications_Count,Internship_Experience,Projects_Completed,DSA_Platform_Rating,Placement_Training_Attended,Soft_Skills_Score,Curriculum_Coverage_Percent,Industry_Demand_Score,Curriculum_Industry_Alignment_Score,Skill_Gap_Label
CSE2027001,Cloud Computing,8.25,33,65,1,Yes,2,1009,Yes,84,42,51,94.26,Yes
CSE2027002,Core CSE,6.5,33,55,5,No,3,1719,No,50,84,77,94.85,Yes
CSE2027003,Cloud Computing,6.17,73,43,0,No,1,1535,No,63,91,52,65.22,Yes
CSE2027004,IoT,7.81,78,40,4,No,5,1982,Yes,38,42,92,65.44,No
CSE2027005,IoT,6.74,40,59,6,Yes,6,1369,No,76,50,73,82.93,Yes
CSE2027006,Data Science,8.38,39,51,4,Yes,2,1746,No,58,83,70,87.82,Yes
CSE2027007,AI & ML,8.84,59,34,6,No,6,1348,Yes,70,53,91,69.61,Yes
CSE2027008,IoT,9.3,88,48,2,Yes,3,1949,No,84,97,87,92.4,No
CSE2027009,IoT,6.44,47,95,3,Yes,0,1024,Yes,50,90,93,97.69,Yes
CSE2027010,IoT,5.77,78,89,4,No,8,823,Yes,98,88,67,80.94,No
CSE2027011,Cloud Computing,6.96,67,85,1,No,0,1339,Yes,43,95,90,96.4,Yes
CSE2027012,Cloud Computing,8.25,55,49,2,Yes,8,1886,Yes,71,71,51,87.11,No
CSE2027013,Core CSE,7.06,69,60,0,Yes,1,975,No,98,89,58,79.81,Yes
CSE2027014,IoT,7.54,100,51,2,No,3,1904,Yes,69,65,92,76.78,No
CSE2027015,Core CSE,7.38,96,87,0,Yes,3,931,No,100,54,87,77.29,No
CSE2027016,Data Science,5.81,37,59,0,Yes,5,945,Yes,92,53,84,79.76,Yes
CSE2027017,Core CSE,9.52,90,61,6,No,6,1189,Yes,85,62,77,88.53,No
CSE2027018,AI & ML,9.21,36,42,0,No,5,1023,Yes,54,74,78,97.38,Yes
CSE2027019,Core CSE,6.29,89,61,6,Yes,7,1927,Yes,99,93,50,57.53,No
CSE2027020,Core CSE,9.48,60,51,3,No,7,1237,No,51,64,50,86.08,Yes
CSE2027021,AI & ML,6.64,88,66,3,No,2,1188,No,37,77,97,83.66,Yes
CSE2027022,Core CSE,8.72,37,36,4,No,8,1887,Yes,95,45,61,89.96,No
CSE2027023,Cyber Security,5.79,60,81,0,Yes,0,2068,Yes,96,60,66,95.91,No
CSE2027024,Core CSE,8.58,60,63,3,Yes,4,1736,No,31,69,89,80.01,Yes
CSE2027025,AI & ML,9.78,39,98,1,No,2,1514,Yes,77,58,60,98.45,No
CSE2027026,Core CSE,7.84,68,97,0,No,1,1075,No,43,87,85,98.68,Yes
CSE2027027,Core CSE,6.71,56,73,1,No,8,1800,No,41,80,77,97.2,Yes
CSE2027028,Cloud Computing,5.69,72,46,5,No,2,1704,No,31,47,54,93.15,Yes
CSE2027029,AI & ML,8.47,49,99,0,No,8,1103,No,35,59,73,86.57,Yes
CSE2027030,Cloud Computing,8.92,35,75,1,Yes,1,1524,No,49,99,65,67.84,Yes
CSE2027031,Data Science,9.7,52,82,0,Yes,5,1643,Yes,50,90,94,97.43,No
CSE2027032,AI & ML,9.25,90,58,1,No,5,1425,Yes,33,82,62,84.81,No
CSE2027033,Core CSE,6.7,38,65,2,No,8,1478,Yes,63,51,87,64.54,Yes
CSE2027034,Cyber Security,6.64,43,85,2,No,6,2041,Yes,54,56,52,96.47,Yes
CSE2027035,Cloud Computing,5.51,98,55,2,No,1,2160,No,70,82,57,77.8,No
CSE2027036,AI & ML,6.79,69,82,2,No,4,1935,Yes,83,82,74,93.03,No
CSE2027037,Cyber Security,9.38,68,81,4,Yes,4,1387,Yes,71,69,78,93.01,No
CSE2027038,Core CSE,6.42,90,51,5,Yes,4,1855,No,60,83,69,90.34,No
CSE2027039,IoT,6.36,33,35,1,No,1,1732,No,54,85,94,93.22,Yes
CSE2027040,IoT,7.22,48,30,6,Yes,6,1248,Yes,96,69,53,86.83,Yes
CSE2027041,Cyber Security,9.45,45,88,1,No,8,1944,No,94,67,85,85.99,No
CSE2027042,IoT,6.18,90,87,2,Yes,4,1867,No,60,57,78,86.75,No
CSE2027043,Cyber Security,6.73,64,72,2,Yes,2,1108,Yes,49,85,63,86.23,Yes
CSE2027044,Cloud Computing,7.25,99,89,3,Yes,3,1660,No,32,94,98,96.68,No
CSE2027045,Cyber Security,7.55,75,68,6,No,6,1902,Yes,58,57,77,84.11,No
CSE2027046,Cyber Security,7.17,81,51,6,No,2,2074,Yes,33,45,91,64.51,No
CSE2027047,Data Science,9.23,53,36,2,No,5,1233,No,73,88,74,90.04,Yes
CSE2027048,Data Science,9.59,83,62,6,Yes,7,839,Yes,58,81,54,75.36,No
CSE2027049,Cyber Security,8.3,33,61,1,Yes,2,1288,Yes,44,76,63,89.78,Yes
CSE2027050,Cloud Computing,6.6,77,51,4,Yes,2,1437,Yes,33,99,69,75.09,Yes
CSE2027051,Core CSE,9.4,78,80,5,Yes,1,2012,Yes,68,94,93,99.16,No
CSE2027052,Core CSE,6.02,35,74,4,No,5,941,No,83,92,81,92.94,Yes
CSE2027053,Cloud Computing,9.63,88,49,3,Yes,8,2132,No,98,89,80,92.93,No
CSE2027054,AI & ML,9.05,64,71,6,Yes,1,1371,No,89,76,89,88.73,No
CSE2027055,Data Science,6.95,93,71,1,No,3,1526,No,65,96,88,92.96,No
CSE2027056,Cloud Computing,6.69,31,96,1,Yes,3,1632,No,60,84,80,96.57,Yes
CSE2027057,IoT,7.61,32,41,2,Yes,6,1298,No,77,70,85,87.81,Yes
CSE2027058,AI & ML,7.33,100,72,2,No,4,1427,No,45,86,62,82.57,No
CSE2027059,Core CSE,8.69,53,54,1,No,4,2007,No,54,58,64,95.53,Yes
CSE2027060,IoT,6.8,98,46,2,Yes,0,1933,No,46,80,98,85.67,No
CSE2027061,Data Science,9.25,66,90,3,No,5,1177,Yes,91,47,54,94.68,No
CSE2027062,Cloud Computing,5.82,36,49,1,No,1,1308,Yes,83,78,88,90.84,Yes
CSE2027063,Data Science,6.47,96,78,3,No,4,2005,No,37,79,97,88.49,No
CSE2027064,Cloud Computing,8.78,57,63,5,Yes,2,1291,Yes,39,50,50,100,Yes
CSE2027065,Core CSE,8.46,90,67,0,Yes,4,1379,No,59,99,66,69.8,No
CSE2027066,Core CSE,8.19,55,84,0,Yes,2,1344,Yes,37,50,100,63.85,Yes
CSE2027067,Cloud Computing,8.72,66,86,0,No,4,1624,No,99,71,78,95.57,No
CSE2027068,IoT,5.67,85,71,4,No,0,987,Yes,32,88,93,95.36,Yes
CSE2027069,IoT,7.98,52,90,4,No,4,1171,No,92,45,80,74.13,No
